text,date
"""Ah, yes. I just love waking up to the sweet aroma of political chaos and corruption in the morning. It's like a breath of fresh air...if that air was filled with hot garbage."" #politics #sarcasm",2023-04-03 11:36:44+00:00
"When @ViolavonCramon
flies to Georgia 🇬🇪 to take part in a protest to support a person accused of using molotov cocktails against the police, who pays her expenses?

#100corruptMEPs
#zombieNGOs #Corruption

@KubiliusA
@shpapuashvili
@AnnaFotyga_PE 

https://t.co/bS4NsgewiK",2023-04-03 11:36:05+00:00
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/lDZeRsplUK via @BreitbartNews,2023-04-03 11:31:36+00:00
"It’s April 03, 2023 at 12:29PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/779xDOUZgE",2023-04-03 11:29:19+00:00
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/zlXcbSqXjv
via NaMo App",2023-04-03 11:29:14+00:00
"Introducing our national colleagues who are working with us in Abuja since January. We are proud to have such talented team members on board!  Their work &amp; dedication have been invaluable to @eueomNigeria23. It’s been a pleasure working with you all!
#teamwork #NigeriaDecides2023 https://t.co/gLEhItLlFM",2023-04-03 11:28:28+00:00
"#MondayMotivation #GetInvolved
Good governance requires our participation as citizens.

We can begin by condemning corruption and injustice, participating in local and national politics, staying informed and getting actively involved.

#NewWeek 👍💪 https://t.co/lgPsAqKxU3",2023-04-03 11:27:51+00:00
EXACTLY! DEMOCRATS ARE SHOWING THEIR FEAR OF FURTHER EXPOSURE OF THEIR CORRUPTNESS BECAUSE OF PRESIDENT TRUMP! Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/AeG8T9XXBG,2023-04-03 11:25:58+00:00
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/G0quqT4ixU
via NaMo App",2023-04-03 11:25:04+00:00
"2023 Elections: Nigeria’s Voter Turnout Drops To The Lowest  https://t.co/FUih61l6WI
#2023elections #NigerianElections2023 #NigeriaDecides2023",2023-04-03 11:24:27+00:00
Senior officials to take over China’s football body amid corruption crackdown https://t.co/aa0VxUPMnU via @scmpnews,2023-04-03 11:21:42+00:00
